,Title,Awards,Year,is_winner,Channel
64,last week tonight with john oliver,Variety Talk Series,2017,True,HBO
65,the late late show with james corden,Variety Talk Series,2017,False,CBS
66,the late show with stephen colbert,Variety Talk Series,2017,False,CBS
67,real time with bill maher,Variety Talk Series,2017,False,HBO
68,drunk history,Directing for a Variety Special,2017,False,Comedy Central
69,jimmy kimmel live!,Directing for a Variety Special,2017,False,ABC
70,last week tonight with john oliver,Directing for a Variety Special,2017,False,HBO
71,the late show with stephen colbert,Directing for a Variety Special,2017,False,CBS
72,saturday night live,Directing for a Variety Special,2017,True,NBC
73,big little lies,Writing for a TV Movie/Limited Series,2017,False,HBO
74,black mirror: san junipero,Writing for a TV Movie/Limited Series,2017,True,
75,fargo,Writing for a TV Movie/Limited Series,2017,False,FX
76,feud: bette and joan,Writing for a TV Movie/Limited Series,2017,False,FX
77,feud: bette and joan,Writing for a TV Movie/Limited Series,2017,False,FX
78,the night of,Writing for a TV Movie/Limited Series,2017,False,HBO
79,better call saul,Directing for a Drama,2017,False,Netflix
80,the crown,Directing for a Drama,2017,False,Netflix
81,the handmaid’s tale,Directing for a Drama,2017,True,
82,the handmaid’s tale,Directing for a Drama,2017,False,
83,homeland,Directing for a Drama,2017,False,Showtime
84,stranger things,Directing for a Drama,2017,False,Netflix
85,westworld,Directing for a Drama,2017,False,HBO
86,the amazing race,Reality Competition Series,2017,False,CBS
87,american ninja warrior,Reality Competition Series,2017,False,NBC
88,project runway,Reality Competition Series,2017,False,Lifetime
89,rupaul’s drag race,Reality Competition Series,2017,False,
90,top chef,Reality Competition Series,2017,False,Bravo
91,the voice,Reality Competition Series,2017,True,NBC
92,atlanta,Writing for a Comedy Series,2017,False,FX
93,atlanta,Writing for a Comedy Series,2017,False,FX
94,master of none,Writing for a Comedy Series,2017,True,Netflix
95,silicon valley,Writing for a Comedy Series,2017,False,HBO
96,veep,Writing for a Comedy Series,2017,False,HBO
97,veep,Writing for a Comedy Series,2017,False,HBO
98,orange is the new black,"Supporting Actress, Drama",2017,False,Netflix
99,stranger things,"Supporting Actress, Drama",2017,False,Netflix
100,the handmaid’s tale,"Supporting Actress, Drama",2017,False,
101,this is us,"Supporting Actress, Drama",2017,False,ABC
102,westworld,"Supporting Actress, Drama",2017,False,HBO
103,the handmaid’s tale,"Supporting Actress, Drama",2017,True,
104,full frontal with samantha bee,Writing for a Variety Special,2017,False,TBS
105,last week tonight with john oliver,Writing for a Variety Special,2017,True,HBO
106,late night with seth meyers,Writing for a Variety Special,2017,False,NBC
107,the late show with stephen colbert,Writing for a Variety Special,2017,False,CBS
108,saturday night live,Writing for a Variety Special,2017,False,NBC
109,the night of,"Supporting Actor, TV Movie/Limited Series",2017,False,HBO
