index,title,awards,year,is_winner,channel
191,sherlock:,TV Movie,2017,FALSE,
192,the wizard of lies,TV Movie,2017,FALSE,HBO
193,fargo,"Lead Actress, TV Movie/Limited Series",2017,FALSE,FX
194,american crime,"Lead Actress, TV Movie/Limited Series",2017,FALSE,ABC
195,big little lies,"Lead Actress, TV Movie/Limited Series",2017,TRUE,HBO
196,feud: bette and joan,"Lead Actress, TV Movie/Limited Series",2017,FALSE,FX
197,feud: bette and joan,"Lead Actress, TV Movie/Limited Series",2017,FALSE,FX
198,big little lies,"Lead Actress, TV Movie/Limited Series",2017,FALSE,HBO
199,the night of,"Lead Actor, TV Movie/Limited Series",2017,TRUE,HBO
200,sherlock:,"Lead Actor, TV Movie/Limited Series",2017,FALSE,
201,the wizard of lies,"Lead Actor, TV Movie/Limited Series",2017,FALSE,HBO
202,fargo,"Lead Actor, TV Movie/Limited Series",2017,FALSE,FX
203,genius,"Lead Actor, TV Movie/Limited Series",2017,FALSE,National Geographic
204,the night of,"Lead Actor, TV Movie/Limited Series",2017,FALSE,HBO
205,atlanta,Comedy Series,2017,FALSE,FX
206,black-ish,Comedy Series,2017,FALSE,ABC
207,master of none,Comedy Series,2017,FALSE,Netflix
208,modern family,Comedy Series,2017,FALSE,ABC
209,silicon valley,Comedy Series,2017,FALSE,HBO
210,unbreakable kimmy schmidt,Comedy Series,2017,FALSE,Netflix
211,veep,Comedy Series,2017,TRUE,HBO
212,better things,"Lead Actress, Comedy",2017,FALSE,FX
213,grace and frankie,"Lead Actress, Comedy",2017,FALSE,Netflix
214,mom,"Lead Actress, Comedy",2017,FALSE,CBS
215,unbreakable kimmy schmidt,"Lead Actress, Comedy",2017,FALSE,Netflix
216,veep,"Lead Actress, Comedy",2017,TRUE,HBO
217,black-ish,"Lead Actress, Comedy",2017,FALSE,ABC
218,grace and frankie,"Lead Actress, Comedy",2017,FALSE,Netflix
219,black-ish,"Lead Actor, Comedy",2017,FALSE,ABC
220,master of none,"Lead Actor, Comedy",2017,FALSE,Netflix
221,baskets,"Lead Actor, Comedy",2017,FALSE,FX
222,atlanta,"Lead Actor, Comedy",2017,TRUE,FX
223,shameless,"Lead Actor, Comedy",2017,FALSE,Showtime
224,transparent,"Lead Actor, Comedy",2017,FALSE,Amazon Studios
225,full frontal with samantha bee,Variety Talk Series,2017,FALSE,TBS
226,jimmy kimmel live!,Variety Talk Series,2017,FALSE,ABC
227,last week tonight with john oliver,Variety Talk Series,2017,TRUE,HBO
228,the late late show with james corden,Variety Talk Series,2017,FALSE,CBS
229,the late show with stephen colbert,Variety Talk Series,2017,FALSE,CBS
230,real time with bill maher,Variety Talk Series,2017,FALSE,HBO
231,drunk history,Directing for a Variety Special,2017,FALSE,Comedy Central
232,jimmy kimmel live!,Directing for a Variety Special,2017,FALSE,ABC
233,last week tonight with john oliver,Directing for a Variety Special,2017,FALSE,HBO
234,the late show with stephen colbert,Directing for a Variety Special,2017,FALSE,CBS
235,saturday night live,Directing for a Variety Special,2017,TRUE,NBC
236,big little lies,Writing for a TV Movie/Limited Series,2017,FALSE,HBO
237,black mirror: san junipero,Writing for a TV Movie/Limited Series,2017,TRUE,
238,fargo,Writing for a TV Movie/Limited Series,2017,FALSE,FX
239,feud: bette and joan,Writing for a TV Movie/Limited Series,2017,FALSE,FX
240,feud: bette and joan,Writing for a TV Movie/Limited Series,2017,FALSE,FX
241,the night of,Writing for a TV Movie/Limited Series,2017,FALSE,HBO
242,better call saul,Directing for a Drama,2017,FALSE,Netflix
243,the crown,Directing for a Drama,2017,FALSE,Netflix
244,the handmaid’s tale,Directing for a Drama,2017,TRUE,
245,the handmaid’s tale,Directing for a Drama,2017,FALSE,
246,homeland,Directing for a Drama,2017,FALSE,Showtime
247,stranger things,Directing for a Drama,2017,FALSE,Netflix
248,westworld,Directing for a Drama,2017,FALSE,HBO
249,the amazing race,Reality Competition Series,2017,FALSE,CBS
250,american ninja warrior,Reality Competition Series,2017,FALSE,NBC
251,project runway,Reality Competition Series,2017,FALSE,Lifetime
252,rupaul’s drag race,Reality Competition Series,2017,FALSE,
