,Nominees,Awards,is_winner,Year
132,"Schitt’s Creek,",Writing for a Comedy Series,True,2020
133,"Schitt’s Creek,",Writing for a Comedy Series,False,2020
134,What We Do In the Shadows,Writing for a Comedy Series,False,2020
135,What We Do In the Shadows,Writing for a Comedy Series,False,2020
136,What We Do In the Shadows,Writing for a Comedy Series,False,2020
137,Black-ish,"Lead Actor, Comedy",False,2020
138,Black Monday,"Lead Actor, Comedy",False,2020
139,The Good Place,"Lead Actor, Comedy",False,2020
140,The Kominsky Method,"Lead Actor, Comedy",False,2020
141,Schitt’s Creek,"Lead Actor, Comedy",True,2020
142,Ramy,"Lead Actor, Comedy",False,2020
143,Dead to Me,"Lead Actress, Comedy",False,2020
144,The Marvelous Mrs. Maisel,"Lead Actress, Comedy",False,2020
145,Dead to Me,"Lead Actress, Comedy",False,2020
146,Schitt’s Creek,"Lead Actress, Comedy",True,2020
147,Insecure,"Lead Actress, Comedy",False,2020
148,Black-ish,"Lead Actress, Comedy",False,2020
